"TARGET_FID","soil_mu","SSURGO_dat","MLRA","LRU","esite","esite_alt","esite_alt2","state_code","dom1","dom2","dom3","dom4","grass_dur","ration","ration_dat","remarks"
"1994","386","NM690","42X","42.2","Draw","Bottomland","Loamy","467","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1994","386","NM690","42X","42.2","Draw","Drainage","Gravelly","674","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","incised"
"1994","386","NM690","42X","42.2","Gravelly","Loamy","<Null>","650","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1994","386","NM690","42X","42.2","Gravelly","Loamy","<Null>","650","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1994","386","NM690","42X","42.2","Gravelly","Loamy","<Null>","650","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1994","386","NM690","42X","42.2","Gravelly","Loamy","<Null>","650","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1994","386","NM690","42X","42.2","Gravelly","Loamy","<Null>","650","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1994","386","NM690","42X","42.2","Gravelly","Loamy","<Null>","650","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1994","386","NM690","42X","42.2","Gravelly","Loamy","<Null>","650","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1994","386","NM690","42X","42.2","Gravelly","Loamy","<Null>","650","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1994","386","NM690","42X","42.2","Gravelly","Loamy","<Null>","650","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"1091","BJ","NM690","42X","42.2","Loamy","Draw","Bottomland","421","","<Null>","","<Null>","perennial","photo interpretation","","<Null>"
"2057","DR","NM690","42X","42.2","Sandy","Loamy","<Null>","240","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","","<Null>"
"2057","DR","NM690","42X","42.2","Sandy","<Null>","<Null>","240","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","","<Null>"
"2057","DR","NM690","42X","42.2","Sandy","<Null>","<Null>","124","<Null>","<Null>","<Null>","<Null>","perennial","<Null>","","<Null>"
"1558","DR","NM690","42X","42.2","Sandy","Loamy","<Null>","241","<Null>","<Null>","<Null>","<Null>","perennial","existing point inventory data","","Phenomet CR4, CR5"
"1558","DR","NM690","42X","42.2","Sandy","Loamy","<Null>","240","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","","<Null>"
"2058","DR","NM690","42X","42.2","Sandy","Loamy","<Null>","241","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","","<Null>"
